"","id","data_review_id","full_review","rating_value","review_date","reviewer_name","reviewer_url","short_review","titleId"
"73",50,"rw0128442","DOROTHEAS RACHE begins with the characters talking directly to the camera and thus us, the viewers. But this is only one of the many, many pleasantly weird things you\'ll discover when watching this film. Right at the beginning we learn that Dorothea, who introduces herself as a 17 year old girl, has just made love to a Martian. And she even has a groovy, smoking meteorite to prove it. The parents are concerned if the pill will work in the case of interstellar sex ... The rest of the film follows Dorothea as she tries to learn more about love (both emotionally and physically) and ends up being abused again and again by an amazing parade of creeps and freaks before Jesus Christ himself pops up to give her some good advice ... Did I mention that this film is weird? The thing that cracked me up the most was Dorothea\'s father who runs a firm that produces ""laughing bags"". That\'s some kind of small mechanism that\'s in a metal box and is then put into a bag. When you shake the bag you are treated to hysterical laughter ... Awesome, just awesome! If only contemporary German cinema were as fascinating as this 1972 film ...",10,"5 December 2003","Wetbones","/user/ur0487753/","Weird ...","tt0069999"
"74",51,"rw1716656","Though primarily intended to be a parody on the then-notorious wave of German sex-films that claim to be ""scientifically"" accurate, ""Dorotheas Rache"" won a price as best picture of 1974. And if that wasn\'t good enough, the price is the Prix de Group Panic, donated by the brilliant cinematic trio infernal consisting of playwright/artist Roland Topor (best known to film lovers as the author who provided the story for Roman Polanskis ""Le Tenant""), neo-surrealistic director Fernando Arrabal (""Viva la Muerte"") and multi-talented filmmaker-genius Alejandro Jodorowsky (""El Topo""). The three applauded ""Dorothea"" as a masterpiece of the new, larger-than-life, politically reflective film of the post-68 years. It offers, they stated, thought-provocation in a daring, symbolist manner that resembles a mix-up of Pasolini and Breton. And indeed, director Peter Fleischmann and fellow screenwriter Jean-Claude Carrière (long-time collaborator of Luis Bunuel) have gone to the limits with this passion of a young girl in search for the meaning of love. Almost all the actors are non-professionals from the sinister underworld of St. Pauli, Hamburg. Anna Henkel – who later starred in Bernardo Bertoluccis ""1900"" and still later married famous German pop singer Herbert Grönemeyer, but tragically died of cancer at a young age – is brilliant as the 17-year old protagonist on her journey through darkness, weirdness, obscurity and obscenity. While trying to find out about the nature of love and the magnetic force between the sexes, she stumbles across pornographers, prostitutes and dominatrices, all of them deliberately depicted not as bizarre caricatures, and all of them behaving as if their home ground were the suburbs of a sex-loaded hellfire. Eventually, Dorothea\'s trip turns out to be a rite of passage in the midst of a capitalistic system. As first, there\'s her parental background: Her father owns a factory that produces comedy articles (such as jewel cases that provide laughter when opened), her mother is as average and boring as a mother can be – but only at first sight. Dorothea slowly evades from this surrounding into unknown territory when a friend, with whom she is making a hilariously absurd 8mm film called ""Encyclopedia of Love"" (devoted to the weirdest sexual practices you have ever been advised to re-enact) starts posing for pornographic pictures and is sexually abused during the first session. Both disgusted and attracted at the same time, and being broad-minded as can be, Dorothea starts trying it out herself. It\'s all done for her quest for the meaning of love in a world of exploitation, humiliation and perversity. Stations of Dorotheas passion include her being laid by three old, very unattractive men (full frontal nudity here, even ""fuller"" than usual!), with the girl surprising the men by turning the situation around. Subsequently there are her lesbian experiences with a domina (among whose clients is a single-legged masochist that likes to be crucified), her (harshly punished) attempt to be a nice to an unloved, frustrated man even prostitutes don\'t want as a customer, her idea to comfort her fathers economical problems with incest, and a personal encounter with Jesus who advises Dorothea to have sex with the mad and the lunatic to become happy\x85 It sounds like a porn-revue from the asylum, and in some way, it is. But it\'s also an astonishing insight, a hallucinating voyage seen through the eyes of an, after all, innocent girl that tries to understand why things are the way they are. She keeps her innocence throughout her experiences – almost, at all (there\'s one ""guilt"" appearing out of the middle all those unredeemed sins). German writer Martin Walser called it a film in ""Dosto-Sado-Maso-Jewski""-qualities when it came out, newspapers spoke of a ""moralistic fable"", of ""Sex with a slice of Mao"", and the film was nicknamed the ""Maria Magdalena of the red-light district"" or ""Alice in Sexland"". Views may vary, but there\'s no doubt ""Dorotheas Rache"" is an amour fou with erotic tension being the prime subject of a surrealistic roller-coaster ride.",10,"22 August 2007","Thorsten_B","/user/ur2317131/","Dosto-Sado-Maso-Jewski","tt0069999"
"87",58,"rw9357367","Wow! Just wow! Grace Productions drove it home, revealing truth that the whole world obliviously ignored. Jesus is going to use this documentary to change lives, however small or large the group of people impacted, it will be used. And already is. Delivering truth about the ""pandemic"", and revealing the necessity of having church. The Church will bow only to Christ, not the State, not a king, not any governing authority. It has helped my understanding on Church gathering, and the need for fellowship, no matter the circumstance, because the Church has always been essential. Christ, not caesar, is the Head of the Church! Believers must be ready to give everything up for the Lord, the Gospel, and the Church. Thank you! This documentary was well made, with an amazing intro, an amazing concept and it brought truth together so powerfully that you just know the Hand of God was involved in this. May people see and hear the truth.",10,"4 October 2023","Cabin33mykingisJesus","/user/ur171118776/","Convicting, Purifying and Preserving!","tt28093168"
"92",61,"rw5107417","This movie makes very little sense, with it\'s brainless script. The revenge plot has been seen a thousand times and then some. The big difference is instead of guns to bring down the bad guys, here we have cartoon like explosions. If it weren\'t for James Woods, Eric Roberts, and Rod Steiger, ""The Specialist"" would be complete refuse. Woods especially, carries the film, as the smarmy evil enemy of Stallone. Speaking of Stallone, both he and Sharon Stone have a believability factor deficiency of monumental proportions. In fact the entire movie has a believability factor of less than zero. I\'ve seen cartoons that made me think more than this does. Push button, blow it up, push button, blow it up. That\'s all there is to this ""bomb"". - MERK",5,"8 September 2019","merklekranz","/user/ur13371508/","Push a button .... blow it up","tt0111255"
"101",66,"rw3707614","This movie begins in Colombia with two men named ""Ray Quick"" (Sylvester Stallone) and ""Ned Trent"" (James Woods) getting ready to blow up a car being driven by a drug lord when Ray spots a child in the backseat and tells Ned to abort the mission. But when his partner refuses--and the bomb subsequently explodes and kills both passengers--a fight ensues which results in extremely bad feelings between them afterward. The scene then shifts to Miami where a beautiful woman named ""May Munro"" (Sharon Stone) has requested that Ray kill three men who murdered her parents when she was a child. The problem is that Ray is an explosives expert and doesn\'t feel comfortable with the job at hand. But after following May in order to gather more information concerning the task at hand he reluctantly agrees. Yet even though his assignment is certainly difficult, what he doesn\'t know is that Ned has formed an uneasy business partnership with these men, and he has been forewarned that Ray might be coming after them. Needless to say, Ned would love another opportunity to get back at Ray for what happened earlier. At any rate, having reviewed the basic plot I must admit that, in spite of the solid cast, this film turned out to be more than a little disappointing. For starters, it appeared that neither Sylvester Stallone nor Sharon Stone really cared that much about this film and simply went through the motions. Be that as it may, while those who like pyrotechnics might enjoy this film, I must say that--given the quality cast--I don\'t think it lived up to its potential and I have rated it accordingly. Slightly below average.",4,"14 May 2017","Uriah43","/user/ur36357573/","A Big Disappointment All the Way Around","tt0111255"
"106",69,"rw1318986","This movie is, apart from the film music, as a whole a must-see for action movie lovers with erotic scenes, built in smoothly. The double role of May makes the movie richer: there IS a plot possible in these kind of movies!. Action abound and well distributed over the time. Eric Roberts and James Woods play their roles at the same high level as Sylvester Stallone and Sharon Stone.I see originality, in the sense of action: the highly developed explosive devices-do hey really exist?CIA will know.. A flaw ,which i do not understand up to now, is that the getaway boat from M&M seafood seemed to be so readily available. The goofy trick with the telephone in the Fontainebleu Hptel as well, but those are not disturbing details. The movie has a steady pace and ends with the Miami Sound Machine!. Best scene is of course , the intimate scene in the hotel. Superb entertainment! A 9. Will see it again.",9,"19 March 2006","robsoer","/user/ur2322035/","Perfect Entertainment","tt0111255"
"109",70,"rw0349949","Well, let\'s see. Just off the top of my head, here are some of the features of this turkey. Sly Stallone mumbles so badly that only about 5% of his dialogue is intelligible (though this is probably a plus, given the quality of the writing).Sharon Stone is nice to look at but her acting starts off bad and gets worse in a hurry. Her character is so unlikeable I cheered up when Woods slapped her around. Rod Steiger\'s accent, which I believe is supposed to be Cuban because he pronounces ""you"" as ""chew"" a la Scarface, comes and goes. James Woods plays a parody of himself (this was actually the most entertaining thing about the movie). They show Sly working out, and all he does are ballet-like stretches to show off his bod, and it was not a pretty sight. He is so over-pumped that there are alarmingly bulging veins on every inch of his body visible. Stone and Stallone (has a nice ring to it, huh?) have no chemistry--during their big sex scene, they look extremely bored instead of aroused, as if they are about to doze off but the only thing keeping them awake is to make sure their buff bodies are displayed carefully so they look their best on camera.  Continuity is terrible-Sly\'s character adopts a fluffy grey kitty, which I guess is supposed to make him sensitive (I was just worried he\'d crush it accidentally) but in a scene towards the end, the cat is dark brown. I give a grudging point towards the kitty not being killed by the Columbians or Woods--the one thing that I didn\'t see coming, because every time Sly came home looking for his cat I expected him to find it nailed to the wall or something equally hideous. Woods does have a great scene (a couple, really) where he does a little trick with a pen and some plastique to frighten his office staff. I also laughed at the way he\'d constantly be yelling ""Shut up!"" to characters who hadn\'t even said anything yet.The movie is, I have to admit, one of those that is so bad, it would qualify as one of those \'love to hate it\' movies that you sit around with your friends with to watch and make fun of. Worth renting if 1. you are a Woods fan and find him entertaining in any movie no matter how terrible it is or 2. you have a free rental coming at the video store (or both of the above, like me). If you can\'t stand all three of the principal stars, skip it by all means.",NA,"9 July 1999","Rusty-61","/user/ur0363933/","Where do I start?","tt0111255"
"110",71,"rw0349957","This seems like a film tailor-made so Sly & Sharon can \'strut their stuff\' in the coupling dept. Sharon vamps, Sly warbles thru his lines. Yea, he\'s got a deep & sexy voice but you can only pick up on what he\'s saying to her on the phone if you got close-caption on your set! Anyway, they both look VERY fine in this film. James Woods is the pest you\'ll love to hate being the back-stabber that he is. ""Slime"" is the only word to use for Eric Roberts role & Rod Steiger\'s Hispanic accent is fun! See the edited version of this one. It\'s got a slick color to it that\'s quite appealing being that it was shot in Miami where everything\'s bright pink & green.",NA,"28 July 2000","dtrent-2","/user/ur0753449/","Stallone + Stone = Fireworks!","tt0111255"
"122",79,"rw4659671","This is a perfect collage of stories told in the best possible way by zoya akhtar, it is also ranveer singh best acting ever. every frame is a treat.",10,"15 February 2019","sohailparvaiz","/user/ur46146887/","Zoya akhtar best movie till date","tt2395469"
"123",80,"rw4860245","I like Indian movies a lot. If Mumbai and its rougher edges are featured, all the better. I don\'t like (American) rap music. As a general rule, I avoid ""coming of age"" movies. So watching this film was a dilemma for me. Not a bad movie, but the main character looked like a grown man in his 30\'s. Not a college kid coming up. His age lurked in the back/front of my mind in every scene he was in. So I looked him up. Yeah, he\'s around 34. For me, it spoiled the film. Now I guess I gotta check the spoiler box!",5,"17 May 2019","palainausa","/user/ur71089242/","Decent Movie with a PROBLEM","tt2395469"
"126",82,"rw4689539","Acting-great performances very grounded in reality,Ranveer and Alia were great,the supporting cast was great and believable\nPlot-Enjoyable plot with great dialogues,I myself am not into the latest music scene but you can understand clearly the way struggle is potrayed.For me the love story was an addition not a necessity if you watch Gully boy again sometime youll notice you can skip all the parts and the entire subplot between Ranveer and Alia and even the little fight where Alia knocks out Kalki you will notice the rest of the movie is still a good movie and it will be a different experience.\nScreenplay-Heres a dilemna the screen play was very unique because heres how the movie progressed 5 min-character is having a blast,enjoying next 5 min-character is knocked out by a bad situation and is rethinking his entire life then repeat happy-sad-happy-sad-happy-sad......\nNow I dont know if I would enjoy the movie more or less if the screen play was any different because at some moments I enjoyed it immensely but at some points I felt is this back and front swinging necessary cant you just go linearly like a normal person where you have first 30 minutes of sad and then next 30\nminutes or hour of happy and right before interval 10 minutes of sad and so on.\nThe ending montage was great it gives you a good feeling but still some anbiguity, because he has achieved something of value,we dont know if he will continue to grow in his career,get to marry Safeena once she becomes a doctor,will his music remain popular and continue to inspire,will his father reconcile with them,etc.\nTechnically the movie was brilliant no doubt the sets,locations,costumes,camera work,music in songs ,background music,sound quality,lighting,colors,etc all were great",8,"27 February 2019","khkyousuf-14788","/user/ur99795411/","good","tt2395469"
"132",85,"rw5016219","Poor guy wants to become a rapper, but society suppresses him, finally against all the odds, poor guy becomes a famous rapper. Inspiring story, but I found the movie to be a drag at times.",6,"24 July 2019","plant_jimmy","/user/ur105832906/","Strictly average film","tt2395469"
"135",88,"rw4839534","This movie has been copied alot from 8-Mile!\nPlease do not give credit to the writers for this movie.",1,"9 May 2019","sanjk75","/user/ur23672811/","8 Mile rip off!","tt2395469"
"139",90,"rw4657300","The film is watchable for Zoya\'s direction and Siddhant\'s performance. There is nothing new in the film - it is the age-old underdog story, and I have seen much better depictions of the underdog story in world cinema. Some sections/ communities of the society may be able to connect with the film and its characters, but I could not. Also, if you are from Mumbai, you may like the film. In terms of performances, Ranveer is better here than in some of his last films. Alia has acted like she always does - just being the normal herself. The real performance for which to check out this film is Siddhant\'s. This is an actor to watch out for.\nDisclaimer: There is too much rap in the film. I have tried to be as impartial in my review as possible - if you are not a fan of this so-called ""music"" like myself, you may not like it.",6,"14 February 2019","lamemoviesguy","/user/ur5360769/","Watchable but very predictable","tt2395469"
"158",105,"rw8812165","I had never heard of this western until I found it on TCM (which should be declared a national landmark). Although not in the ranks of the greatest westerns (My Darling Clementine, The Man from Laramie, The Westerner, True Grit, The Shootist, etc. Etc.) it\'s definitely worth a see. All the traditional elements of westerns are present - revenge, jealousy, justice, lawlessness, love, etc. Etc. Etc., and although the script may sometimes be a bit prosaic and banal, it\'s a good story that involves us and makes us care about the characters. It also has some absolutely gorgeous cinematography of western vistas. It is also, as others have noted, a reminder of how great an actor James Cagney was. My only complaint was the conclusion, which opts for the usual ""happy ending,"" but that\'s a quibble.",6,"20 January 2023","rupie","/user/ur0307374/","where has this been?","tt0049881"
"162",109,"rw4728667",". . . whether it\'s ""industrial hemp"" being raised clandestinely under grow lamps by ""George Washington\'s"" stoner brigade, or ""strange fruit"" lanyards dangling from the trees in ""Nina\'s"" backyard. This taint of disdain for the so-called ""Judas Lasso"" permeates TRIBUTE TO A BAD MAN from beginning to end. Title character ""Rodock"" suffers periodic bouts of ""hanging fever,"" primarily because he lives more than 200 miles from the nearest guns and ammo shop. Bullets are few and far between. (Just close your eyes, and listen to the near absence of ""Peacemaker"" action on TRIBUTE\'s soundtrack.) As ""Dirty Harry"" knew all too well, life gets really complicated when you\'re constantly counting rounds fired (especially if you did not major in math!). Who\'s going to make a 400-mile round trip detour to pick up a couple boxes of ammo on their Sunday afternoon jaunt to the Firing Range?! Throughout TRIBUTE, the frustrated, under-armed ""Rodock"" dances around like a dope on a rope. All the more reason for YOU to remember Today to support your local chapter of BANGS (Broke Americans Need Gun Stamps)!",8,"17 March 2019","cricket30","/user/ur40334238/","Rope always has had a bad rap in America . . .","tt0049881"
"165",111,"rw7665545","Leandro Hassum is a great comedian but this movie is pretty boring. There are other very good movies by him but this one is not good Movie watched on December 20, 2021.",5,"20 December 2021","brvareiretis","/user/ur147406909/","Ok","tt2332518"
"166",112,"rw9640680","When this movie was made Leandro Hassum was really famous with a comedy show named ""Os Caras de Pau"" (Bare Faced Guys) and Ancine (Film Brazilian Agency) was investing a lot of money on good comedies. The problem is that even though this movie contains a lot of typical Brazilian jokes, it is still a copycat of American comedies. The plot is interesting showing Faustino (Hassum) going broke for wasting a lot of money, what is very common among the Brazilian culture. Then he wins the lottery and can do whatever he wants while he assures his wife that now he can handle money with responsibility. The audience already knows that he is going to spend money like crazy and get into trouble, I can tell you that you can laugh a lot with this flick, but that\'s all. There is nothing original that you have not seen on the average American comedies.",7,"24 February 2024","tiagotorlay","/user/ur108981707/","Funny, but not brillant","tt2332518"
"170",116,"rw2933276","I had a chance to see the film ""Qissa"" while it screened at the South Asian Film Festival in New york. Not knowing the premise of the film, what struck me most was the depth of the different characters portrayed in the story. Actors Irfan Khan and Tillotama Shome displayed a beautiful and sensitive chemistry playing the father-daughter duo, replete with complex emotional struggles and seemingly unsurmountable conflicts. The interpersonal relationships between the characters were touching and real despite the darkness that surrounded them. Tillotama\'s gender-transcending portrayal of a complex and conflicted ""Kanwar"" was seamless and simply blew me away!",9,"21 December 2013","richa-sri","/user/ur49007327/","Beautiful, Heartbreaking, Creative.","tt2334779"
"174",120,"rw6202181","Iam still struggling to process the movie, its unbelievably dark, deep and has lots of layers, which you wont understand at first.( At least i didnt).\nI was hooked right from the beginning and were really intrigued to know how the story unfolds. Its one of these rare masterpieces, which you leaves you clueless at the beginning, but after rewatching you slowly start to comprehend the concept behind it.\nIam aware, that this movie might be not suitable for the broader audience, cause it demands patience and interest for folklore& different storytelling, but its worth watching and i can recommend this movie to every movie lover! It will strengthen your understanding for movies on a different level!\nThis is the first punjabi movie Ive ever watched and iam glad that it turned out to be a masterpiece.",9,"24 October 2020","ranikaith","/user/ur114851404/","Shattering, but thoughtful movie","tt2334779"
"175",121,"rw3134910","I had the pleasure of watching ""Qissa"" (Punjabi, English sub-titles) at its North America premier at the Sikh Lens Film Festival in Orange County, CA on Nov 22nd, 2014. This is a complex, heart-wrenching tale powerfully etched by the dexterous hands of Anup Singh. The movie starts off with the backdrop of the 1947 Partition of India and the theme of loss runs right through it. The film then goes on to mercilessly expose the ridiculous limits a patriarchy must go to, to preserve itself. Umber (played by the incomparable Irrfan Khan) is a Sikh man uprooted with his wife and three young daughters from his village (in Pakistan) and forced to flee to the new India as a result of Partition. Soon after he is somewhat reestablished in India, his wife delivers a 4th daughter; at this point Umber declares he\'s had a son and brushing aside all objections proceeds to raise the girl as a boy even up to the point of marrying her off as a man. The absolutism of the patriarchy, accompanied by the threat of violence runs as an undercurrent throughout the film — the women mostly watch on helplessly until Umber\'s daughter-in-law unexpectedly decides to question the status quo. But it is too late and the story unfolds inexorably into a disaster for all. Thematically Partition as the starting point for the film is a powerful and relevant one. The patriarchy that invented the concept of ""honor"" off the backs of its helpless women then greatly exploited it during Partition - women, girls on all sides and as a matter of priority, were raped, mutilated, and devastated in ways unimaginable. The same patriarchy so bound to its feudal ties, the land it owned and a limited imagination, could only consider sons bearing its name. And this became so much of a part of the reality that not having a male heir became as much a matter of economic devastation as of social shame. As the director and screenplay writer, Anup Singh displays admirable restraint with limited dialog, nuanced performances elicited from his cast, and the straightforward telling of an explosive story. A metaphorical twist in the story leaves you stunned yet believing. I would be remiss if I did not call out the three women actors - Tilottama Shome, Tisca Chopra and Rasika Dugal - who were perfect in their respective roles; each held her own vis-a-vis Irrfan Khan. All in all a treat and I am rooting for this one as India\'s entry for Best Foreign Film at the 2014 Oscars!",9,"2 December 2014","reena1988","/user/ur25784515/","Dark, beautiful and heart-breaking...","tt2334779"
